"195453","콩비지동그랑땡","두부대신 콩비지를 넣어 만든 동그랑땡 맛도 좋아요!","3020001","한식","3010018","부침","30분","0Kcal","3인분","보통"," ","10,000원","http://file.okdab.com/recipe/148299577268400131.jpg",http://www.okdab.com/consumer/recipe/recipeView.do?recipeSn=195453
"195428","누드김밥","건강한 재료로 가득담아 말은 누드김밥! 고기가 없어도 맛있어요!!","3020009","퓨전","3010001","밥","20분","0Kcal","3인분","보통"," ","3,000원","http://file.okdab.com/recipe/148299332505800120.jpg",http://www.okdab.com/consumer/recipe/recipeView.do?recipeSn=195428
"180363","쪽파 새우강회","새우에 쪽파를 감아 간단하게 만들지만 새우와 쪽파의 달콤한 맛과 새콤한 초고추장의 환상의 콤비! 거기에 건강까지 좋은 영양만점 쪽파 새우강회!!","3020009","퓨전","3010007","나물/생채/샐러드","20분","0Kcal","2인분","초보환영"," ","5,000원","http://file.okdab.com/recipe/148299002655300119.jpg",http://www.okdab.com/consumer/recipe/recipeView.do?recipeSn=180363
"180344","카레토마토달걀볶음밥","토마토와 달걀을 넣은 볶음밥에 카레소스를 두른 영양만점 볶음밥","3020009","퓨전","3010001","밥","30분","0Kcal","1인분","초보환영"," ","3,000원","http://file.okdab.com/recipe/148291443772500013.jpg",http://www.okdab.com/consumer/recipe/recipeView.do?recipeSn=180344
"180330","식빵고구마파이","식빵을 이용한 간단 고구마파이! 아이들 영양 간식으로 딱!","3020002","서양","3010014","빵/과자","30분","0Kcal","2인분","초보환영"," ","5,000원","http://file.okdab.com/recipe/148291043686100008.jpg",http://www.okdab.com/consumer/recipe/recipeView.do?recipeSn=180330
"120476","배추만두","배추로 만든 깜찍한 배추주머니 만두! 아삭한 배추와 영양으로 가~득 채운 보기도 좋고 맛도 좋은 배추만두랍니다.","3020001","한식","3010006","찜","30분","0Kcal","2인분","보통"," ","10,000원","http://file.okdab.com/recipe/148230648948900343.jpg",http://www.okdab.com/consumer/recipe/recipeView.do?recipeSn=120476
"120463","당근잎 감자전","당근 향이 나는 향긋한 당근잎 감자전","3020001","한식","3010018","부침","20분","0Kcal","2인분","보통"," ","3,000원","http://file.okdab.com/recipe/148229812483500337.jpg",http://www.okdab.com/consumer/recipe/recipeView.do?recipeSn=120463
"120441","단호박 고등어조림","달콤한 단호박으로 만든 달콤 짭짜름한 고등어조림","3020001","한식","3010003","조림","30분","0Kcal","4인분","보통"," ","5,000원","http://file.okdab.com/recipe/148222411418400027.jpg",http://www.okdab.com/consumer/recipe/recipeView.do?recipeSn=120441
"120419","나물 월남쌈","명절을 보내고 남은 나물로 알뜰하고 맛이게 만들어 먹는 나물 월남쌈!","3020009","퓨전","3010007","나물/생채/샐러드","30분","0Kcal","2인분","보통"," ","5,000원","http://file.okdab.com/recipe/148066903468800139.jpg",http://www.okdab.com/consumer/recipe/recipeView.do?recipeSn=120419
"120401","애호박 구이","어린채소와 함께 샐러드처럼 먹을 수 있는 애호박 구이","3020001","한식","3010007","나물/생채/샐러드","20분","0Kcal","2인분","초보환영"," ","3,000원","http://file.okdab.com/recipe/148066561730500124.jpg",http://www.okdab.com/consumer/recipe/recipeView.do?recipeSn=120401
